item_name,price
soothika paricharya spl 7 days a/c room,3786
SOOTHIKA PARICHARYA SPL 7 NON A/C,3286
TARPANAM,650
THALA POTHICHIL,650
THALAM,100
UDVARTHANAM - DS,600
UDVARTHANAM - F,900
UDVARTHANAM - L,400
UPANAHAM - DS,550
UPANAHAM - F,750
UPANAHAM - L,450
URO VASTI,350
USHNA SWEDAM,200
UTTRA VASTI,750
VAMANAM,1000
VETHUKULI,250
VIRECHANAM,250
VRANA DHARA - DS,600
VRANA DHARA - L,450
YONI DHOOPANAM,200
YONI PICHU,200
YONI PRAKSHALANAM,150
